check	expected	actual	result
clean.install_rc	0	0	passed
clean.final_status	install ok installed	install ok installed	passed
clean.registry_lines	1	1	passed
after-state.interrupted_install_rc	1	1	passed
after-state.pre_recovery_status	install ok half-configured	install ok half-configured	passed
after-state.recovery_rc	0	0	passed
after-state.final_status	install ok installed	install ok installed	passed
after-state.comparison	converged	converged	passed
after-state.registry_lines	1	1	passed
after-registry.interrupted_install_rc	1	1	passed
after-registry.pre_recovery_status	install ok half-configured	install ok half-configured	passed
after-registry.recovery_rc	0	0	passed
after-registry.final_status	install ok installed	install ok installed	passed
after-registry.comparison	diverged	diverged	passed
after-registry.registry_lines	2	2	passed
after-config.interrupted_install_rc	1	1	passed
after-config.pre_recovery_status	install ok half-configured	install ok half-configured	passed
after-config.recovery_rc	0	0	passed
after-config.final_status	install ok installed	install ok installed	passed
after-config.comparison	diverged	diverged	passed
after-config.registry_lines	2	2	passed
